FULL NAME,TEAM,POS,AGE,GP,MPG,FTA,FT%,2PA,2P%,3PA,3P%,TrueSP,PointsPG,ReboundsPG,AssistsPG,StealsPG,BlocksPG,TurnOversPG
Cole Anthony,Orl,G,21,47,27.1,131,0.832,380,0.424,172,0.337,0.496,12.9,4.7,4.1,0.64,0.38,2.26
Markelle Fultz,Orl,G,22.97,8,26.9,19,0.895,88,0.42,16,0.25,0.458,12.9,3.1,5.4,1,0.25,2.25
Kyle Kuzma,Lal,F,25.81,68,28.7,97,0.691,377,0.525,380,0.361,0.546,12.9,6.1,1.9,0.5,0.6,1.66
P.J. Washington,Cha,F,22.73,64,30.5,145,0.745,397,0.479,290,0.386,0.549,12.9,6.5,2.5,1.09,1.23,2
LaMarcus Aldridge,Bro,C-F,35.83,5,26,10,1,43,0.488,5,0.8,0.611,12.8,4.8,2.6,0.6,2.2,1.4
Keldon Johnson,San,F-G,21.6,69,28.5,196,0.74,524,0.531,181,0.331,0.557,12.8,6,1.8,0.58,0.35,1.13
Will Barton,Den,G,30.36,56,31,121,0.785,351,0.459,257,0.381,0.538,12.7,4,3.2,0.89,0.41,1.71
Miles Bridges,Cha,F,23.16,66,29.3,113,0.867,332,0.593,290,0.4,0.625,12.7,6,2.2,0.67,0.79,1.61
Alec Burks,Nyk,G,29.83,49,25.6,118,0.856,254,0.425,246,0.415,0.564,12.7,4.6,2.2,0.63,0.29,1
Jalen Brunson,Dal,G,24.71,68,25,151,0.795,427,0.578,200,0.405,0.618,12.6,3.4,3.5,0.51,0.01,1.18
Myles Turner,Ind,C-F,25.15,47,31,142,0.782,226,0.606,206,0.335,0.599,12.6,6.5,1,0.85,3.38,1.43
Seth Curry,Phi,G,30.73,57,28.7,77,0.896,272,0.485,280,0.45,0.607,12.5,2.4,2.7,0.77,0.14,1.14
Kyle Anderson,Mem,F-G,27.66,69,27.4,184,0.783,397,0.539,261,0.36,0.578,12.4,5.7,3.6,1.22,0.83,1.25
Blake Griffin,Det,F,32.17,20,31.3,62,0.71,98,0.429,124,0.315,0.491,12.3,5.2,3.9,0.7,0.1,1.6
Brook Lopez,Mil,C,33.12,70,27.2,142,0.845,359,0.632,281,0.338,0.611,12.3,5,0.7,0.57,1.47,0.91
Saddiq Bey,Det,F,22.1,70,27.3,147,0.844,232,0.448,460,0.38,0.566,12.2,4.6,1.4,0.74,0.2,0.86
Eric Bledsoe,Nor,G,31.44,71,29.7,195,0.687,376,0.495,355,0.341,0.532,12.2,3.4,3.8,0.77,0.34,1.58
Kevin Love,Cle,F-C,32.69,25,24.9,51,0.824,96,0.479,156,0.365,0.556,12.2,7.4,2.5,0.64,0.08,1.52
Joe Ingles,Uta,F-G,33.62,67,27.9,90,0.844,156,0.59,406,0.451,0.672,12.1,3.6,4.7,0.67,0.18,1.75
Josh Richardson,Dal,G,27.67,59,30.3,108,0.917,351,0.501,267,0.33,0.537,12.1,3.3,2.6,1.03,0.41,1.34
Lou Williams,Lac,G,34.55,42,21.9,119,0.866,311,0.437,119,0.378,0.529,12.1,2.1,3.4,0.93,0.1,1.57
Thaddeus Young,Chi,F,32.9,68,24.3,113,0.628,618,0.579,45,0.267,0.577,12.1,6.2,4.3,1.09,0.59,2
Cory Joseph,Det,G,29.74,19,26.4,41,0.878,138,0.543,38,0.368,0.588,12,3.2,5.5,1.21,0.47,1.79
Victor Oladipo,Mia,G,29.03,4,27.8,18,0.667,26,0.462,17,0.235,0.471,12,3.5,3.5,1.75,0.5,3.5
Jordan Poole,Gol,G,21.91,51,19.4,119,0.882,198,0.545,276,0.351,0.581,12,1.8,1.9,0.51,0.18,1
Khem Birch,Tor,C,28.63,19,30.4,44,0.636,140,0.614,31,0.29,0.596,11.9,7.5,1.9,0.89,1.16,1.11
Hamidou Diallo,Okc,G,22.8,32,23.8,132,0.629,256,0.512,41,0.293,0.536,11.9,5.2,2.4,0.97,0.38,1.53
Andre Drummond,Lal,C,27.77,21,24.8,76,0.605,192,0.531,0,0,0.554,11.9,10.2,1.4,1.1,0.95,2.05
Kevin Huerter,Atl,G-F,22.72,69,30.8,64,0.781,345,0.51,386,0.363,0.541,11.9,3.3,3.5,1.19,0.26,1.14
George Hill,Okc,G,35.04,14,26.3,25,0.84,63,0.619,57,0.386,0.63,11.8,2.1,3.1,0.86,0.14,0.86
Wendell Carter Jr.,Orl,C-F,22.09,22,26.5,68,0.721,176,0.534,29,0.241,0.549,11.7,8.8,1.6,0.77,0.82,1.32
Malik Monk,Cha,G,23.28,42,20.9,72,0.819,187,0.471,212,0.401,0.569,11.7,2.4,2.1,0.45,0.1,1.31
